Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
12-Mar-24,EQ,"1,027.80","1,037.00","1,011.30","1,028.00","1,019.00","1,016.50","1,022.19","1,065.60",400.45,"87,63,820","8,95,82,73,288.40","2,43,990"
13-Mar-24,EQ,"1,019.00","1,021.00",963.55,"1,016.50",973.15,973.2,988.04,"1,065.60",400.45,"1,65,64,155","16,36,60,04,383.05","4,29,325"
14-Mar-24,EQ,964.95,982,955.4,973.2,968.4,967.75,968.09,"1,065.60",400.45,"2,29,31,801","22,20,00,06,561.95","4,53,838"
15-Mar-24,EQ,968.4,979.75,940,967.75,943.95,945.85,951.07,"1,065.60",400.45,"2,33,90,913","22,24,63,00,902.20","4,09,527"
18-Mar-24,EQ,945.85,974.8,936.65,945.85,972,972.45,961.64,"1,065.60",400.45,"1,21,21,719","11,65,67,66,985.35","3,01,579"
19-Mar-24,EQ,968.55,970.6,951.6,972.45,958.2,957.75,960.6,"1,065.60",400.45,"94,83,750","9,11,01,35,924.35","2,38,021"
20-Mar-24,EQ,960.9,965.15,921.2,957.75,944.3,940.45,940.72,"1,065.60",400.45,"1,39,00,321","13,07,63,39,290.15","3,34,099"
21-Mar-24,EQ,951,969.25,946,940.45,965.55,964.9,959.7,"1,065.60",400.45,"1,10,74,207","10,62,78,71,292.80","2,55,104"
22-Mar-24,EQ,964.9,986.2,950.35,964.9,979.75,979.8,973.11,"1,065.60",400.45,"1,36,38,296","13,27,15,35,879.30","3,31,701"
26-Mar-24,EQ,977,995,976,979.8,987.15,986.2,988.47,"1,065.60",400.45,"94,61,531","9,35,24,25,727.35","2,03,693"
27-Mar-24,EQ,991.6,995,976.7,986.2,979.85,978.65,986.05,"1,065.60",400.45,"66,40,537","6,54,79,01,957.20","1,53,746"
28-Mar-24,EQ,982.5,999.9,979,978.65,995,992.8,989.41,"1,065.60",400.45,"98,62,996","9,75,85,05,417.60","2,06,461"
1-Apr-24,EQ,"1,000.00","1,009.85",987.45,992.8,994,992.25,999.89,"1,065.60",419.5,"86,29,407","8,62,84,17,031.65","1,86,115"
2-Apr-24,EQ,999,"1,008.00",993.4,992.25,"1,006.40","1,004.65","1,001.88","1,065.60",419.5,"79,95,931","8,01,09,66,198.30","1,40,240"
3-Apr-24,EQ,"1,004.00","1,014.45",992.55,"1,004.65","1,009.80","1,009.15","1,005.24","1,065.60",419.5,"80,40,366","8,08,24,83,994.30","1,78,668"
4-Apr-24,EQ,"1,016.00","1,017.00",998.15,"1,009.15","1,013.00","1,011.60","1,009.18","1,065.60",419.5,"91,38,276","9,22,21,66,611.85","2,22,736"
5-Apr-24,EQ,"1,011.60","1,012.50","1,004.40","1,011.60","1,007.85","1,007.10","1,007.70","1,065.60",419.5,"45,19,120","4,55,39,38,869.15","1,25,137"
8-Apr-24,EQ,"1,010.05","1,016.40","1,004.00","1,007.10","1,012.70","1,013.20","1,011.67","1,065.60",452,"51,88,052","5,24,85,88,584.35","1,35,516"
9-Apr-24,EQ,"1,021.00","1,029.50","1,005.00","1,013.20","1,008.00","1,008.50","1,016.63","1,065.60",452,"85,39,041","8,68,10,62,975.60","1,65,448"
10-Apr-24,EQ,"1,012.25","1,021.00","1,010.00","1,008.50","1,014.00","1,013.50","1,013.34","1,065.60",452,"45,54,077","4,61,48,09,424.85","1,47,535"
12-Apr-24,EQ,"1,014.00","1,029.00","1,013.50","1,013.50","1,020.00","1,018.50","1,022.78","1,065.60",452,"1,15,75,194","11,83,88,97,334.00","2,69,532"
15-Apr-24,EQ,998.1,"1,006.95",978.5,"1,018.50",997.95,998.8,996.59,"1,065.60",465.8,"1,26,32,409","12,58,93,70,202.80","3,15,872"
16-Apr-24,EQ,990,"1,004.90",982.1,998.8,992.2,992.8,994.95,"1,065.60",465.8,"95,74,762","9,52,64,21,190.55","3,71,266"
18-Apr-24,EQ,996.35,"1,003.10",966.25,992.8,977.55,971.35,985.92,"1,065.60",465.8,"1,35,40,490","13,34,98,51,587.35","3,86,743"
19-Apr-24,EQ,964,967.95,944,971.35,964.4,963.2,956.12,"1,065.60",465.8,"1,53,81,310","14,70,64,20,442.10","4,55,804"
22-Apr-24,EQ,978.75,978.75,966,963.2,974.7,973.55,971.86,"1,065.60",468.3,"71,87,959","6,98,56,55,749.55","1,85,545"
23-Apr-24,EQ,976,994.5,974.05,973.55,987.75,986.75,985.98,"1,065.60",468.3,"79,94,116","7,88,20,75,910.30","2,04,024"
24-Apr-24,EQ,992.4,995.9,988,986.75,990.8,991.65,991.57,"1,065.60",468.3,"46,71,450","4,63,20,68,971.70","1,32,021"
25-Apr-24,EQ,992.5,"1,003.30",989.5,991.65,"1,002.00","1,001.25",996.95,"1,065.60",468.3,"83,66,455","8,34,09,20,069.70","1,91,801"
26-Apr-24,EQ,"1,007.80","1,008.95",996.6,"1,001.25","1,000.00",999.5,"1,002.09","1,065.60",468.3,"79,37,500","7,95,41,27,656.55","2,07,973"
29-Apr-24,EQ,"1,003.05","1,005.75",999,999.5,"1,000.05","1,000.60","1,001.33","1,065.60",474.55,"47,64,750","4,77,10,91,108.70","1,38,831"
30-Apr-24,EQ,"1,005.00","1,019.45",997.5,"1,000.60","1,008.00","1,007.90","1,013.13","1,065.60",474.55,"90,47,011","9,16,58,14,674.35","2,17,132"
2-May-24,EQ,"1,020.00","1,030.00","1,011.55","1,007.90","1,028.80","1,027.80","1,024.12","1,065.60",474.55,"1,26,95,047","13,00,13,13,075.95","3,25,584"
3-May-24,EQ,"1,038.00","1,040.20",996,"1,027.80","1,014.50","1,013.40","1,017.92","1,065.60",474.55,"1,18,71,773","12,08,45,02,533.20","2,94,136"
6-May-24,EQ,"1,015.00","1,019.80","1,005.00","1,013.40","1,015.10","1,016.20","1,013.30","1,065.60",478.1,"57,24,760","5,80,09,03,344.70","1,52,486"
7-May-24,EQ,"1,016.20","1,017.95",982.05,"1,016.20",988,988.55,995.72,"1,065.60",478.1,"88,77,426","8,83,94,36,147.40","2,68,478"
8-May-24,EQ,986.95,"1,015.00",977,988.55,"1,013.10","1,012.10","1,001.59","1,065.60",478.1,"75,19,352","7,53,12,91,997.20","1,76,945"
9-May-24,EQ,"1,011.00","1,043.20","1,007.30","1,012.10","1,030.00","1,030.30","1,031.37","1,065.60",478.1,"1,91,89,798","19,79,17,72,664.40","3,73,117"
10-May-24,EQ,"1,037.00","1,050.35","1,030.40","1,030.30","1,047.00","1,046.65","1,041.70","1,065.60",478.1,"1,33,83,183","13,94,12,41,784.40","2,72,084"
13-May-24,EQ,"1,005.00","1,008.70",947.2,"1,046.65",959.4,959.75,965.73,"1,065.60",504.75,"5,89,74,762","56,95,37,31,977.95","12,49,124"
14-May-24,EQ,965.1,968,953.25,959.75,964.75,964.65,961.48,"1,065.60",504.75,"1,63,25,689","15,69,67,71,291.20","4,44,401"
15-May-24,EQ,970.95,972.95,945.1,964.65,946,947.3,955.59,"1,065.60",504.75,"1,96,68,239","18,79,47,94,488.80","5,52,332"
16-May-24,EQ,953.2,954.4,919,947.3,939.2,936.4,932.31,"1,065.60",504.75,"3,12,40,770","29,12,60,84,706.15","9,91,302"
17-May-24,EQ,944,953.4,941,936.4,944.95,945.7,946.87,"1,065.60",504.75,"1,32,05,512","12,50,39,51,677.20","3,45,592"
18-May-24,EQ,950,958,947,945.7,954,953.95,951.58,"1,065.60",504.75,"19,30,324","1,83,68,62,132.25","46,830"
21-May-24,EQ,954,956.65,948.7,953.95,950.5,951.3,952.23,"1,065.60",509.1,"1,00,55,258","9,57,49,46,020.95","3,08,306"
22-May-24,EQ,952,954.9,942.55,951.3,947.95,947.5,948.59,"1,065.60",509.1,"94,95,279","9,00,71,05,777.45","2,43,237"
23-May-24,EQ,950,963.45,945.05,947.5,962.45,962.35,955.16,"1,065.60",509.1,"1,12,11,074","10,70,83,62,879.35","2,57,170"
24-May-24,EQ,962.5,970.95,958,962.35,958.9,960.55,965.97,"1,065.60",509.1,"95,90,588","9,26,42,65,969.40","2,55,338"
27-May-24,EQ,964.9,966.45,952,960.55,959.2,958.5,960.65,"1,065.60",516.4,"69,16,555","6,64,43,93,473.10","1,74,172"
28-May-24,EQ,959,961.9,946,958.5,947.45,947.55,951.76,"1,065.60",516.4,"66,18,946","6,29,96,51,307.05","1,97,988"
29-May-24,EQ,946.95,950.5,938.8,947.55,943.5,943.6,944.04,"1,065.60",516.4,"81,84,019","7,72,60,12,188.20","2,35,178"
30-May-24,EQ,943.5,951.45,921,943.6,929.35,923.95,932.76,"1,065.60",516.4,"1,01,70,912","9,48,70,37,493.15","3,12,135"
31-May-24,EQ,931.65,937.25,920.1,923.95,924.5,923,926.9,"1,065.60",516.4,"1,42,89,102","13,24,45,60,246.05","2,92,240"
3-Jun-24,EQ,963,963,934,923,951.5,950.45,945.99,"1,065.60",537.9,"1,23,14,329","11,64,91,70,721.05","3,03,950"
4-Jun-24,EQ,948,948,855.4,950.45,904.95,903.9,903.72,"1,065.60",537.9,"2,65,54,598","23,99,79,86,160.70","8,13,215"
5-Jun-24,EQ,924.95,933.75,890,903.9,928,929.95,917.55,"1,065.60",537.9,"1,37,52,553","12,61,87,06,601.05","3,47,081"
6-Jun-24,EQ,940,946,931.2,929.95,939.5,938.25,939.29,"1,065.60",537.9,"1,17,92,640","11,07,67,24,156.05","3,58,066"
7-Jun-24,EQ,940,973,935.25,938.25,970,970.5,959.91,"1,065.60",537.9,"1,55,77,866","14,95,32,76,886.75","3,19,681"
10-Jun-24,EQ,977,984.9,969.1,970.5,974.8,975.15,976.04,"1,065.60",557.7,"92,58,931","9,03,71,31,825.15","2,02,911"
11-Jun-24,EQ,973.8,992.55,966.65,975.15,986.15,987.1,984.93,"1,065.60",557.7,"1,48,28,702","14,60,53,01,145.30","4,00,232"
12-Jun-24,EQ,994.5,"1,010.25",987,987.1,989.2,988.7,996.34,"1,065.60",557.7,"1,75,27,993","17,46,38,64,630.25","4,30,324"
13-Jun-24,EQ,"1,002.00","1,002.00",980.75,988.7,985.8,985.85,988.6,"1,065.60",557.7,"1,21,57,226","12,01,86,56,079.65","2,95,633"
14-Jun-24,EQ,990,997.25,981.4,985.85,992,993.4,990.22,"1,065.60",557.7,"1,15,91,421","11,47,80,53,630.05","3,09,906"
18-Jun-24,EQ,"1,000.00","1,003.55",984,993.4,986.5,985.9,992.19,"1,065.60",557.7,"98,45,075","9,76,81,98,778.40","2,84,505"
19-Jun-24,EQ,990,994.9,975.15,985.9,977.5,977.35,983.31,"1,065.60",557.7,"76,05,719","7,47,87,62,920.90","1,82,319"
20-Jun-24,EQ,980,988.4,976.35,977.35,979.1,978.25,981.43,"1,065.60",557.7,"72,99,571","7,16,40,54,388.95","1,75,319"
21-Jun-24,EQ,979,980.9,958.1,978.25,960,961.8,966.4,"1,065.60",557.7,"1,43,03,735","13,82,31,76,478.20","3,86,477"
24-Jun-24,EQ,960.9,963.5,950.05,961.8,959,958.05,957.97,"1,065.60",557.8,"66,55,577","6,37,58,11,978.75","1,82,820"
25-Jun-24,EQ,960,962.85,949.3,958.05,955.5,955,954.6,"1,065.60",557.8,"73,04,128","6,97,25,50,149.55","2,15,159"
26-Jun-24,EQ,956,962.5,950.1,955,952.5,951.85,956.51,"1,065.60",557.8,"69,08,988","6,60,85,39,093.40","1,82,508"
27-Jun-24,EQ,952.5,974.85,948.05,951.85,972.6,972.1,959.23,"1,065.60",557.8,"1,93,85,412","18,59,50,83,922.20","2,73,327"
28-Jun-24,EQ,975,998.5,972.55,972.1,989.2,989.75,989.82,"1,065.60",557.8,"2,30,25,267","22,79,09,23,244.55","4,26,973"
1-Jul-24,EQ,989.75,"1,005.50",985.2,989.75,"1,000.00","1,002.05",996.45,"1,065.60",584.95,"1,40,06,105","13,95,63,45,878.05","2,47,271"
2-Jul-24,EQ,"1,004.05","1,005.00",979.1,"1,002.05",982.5,981.3,988.36,"1,065.60",584.95,"1,22,84,132","12,14,11,66,752.35","2,52,422"
3-Jul-24,EQ,984.95,987.35,973.5,981.3,977.25,975.65,977.3,"1,065.60",584.95,"73,46,258","7,17,95,27,220.45","2,30,730"
4-Jul-24,EQ,984,"1,004.00",979.6,975.65,"1,002.50",998.2,992.82,"1,065.60",584.95,"1,21,39,832","12,05,26,90,682.10","2,28,411"
5-Jul-24,EQ,"1,005.00","1,006.60",989.95,998.2,992.9,993.65,996.93,"1,065.60",584.95,"90,50,375","9,02,26,29,661.70","2,07,489"
8-Jul-24,EQ,"1,005.00","1,016.60",996.2,993.65,"1,002.90","1,002.60","1,005.86","1,065.60",593.3,"1,33,12,085","13,39,01,56,806.85","2,58,538"
9-Jul-24,EQ,"1,000.95","1,017.00",998.1,"1,002.60","1,014.15","1,014.95","1,010.93","1,065.60",593.3,"1,09,48,094","11,06,77,56,784.35","2,04,321"
